>EML4_ENST00000318522.5,chr2:42396490-42559688
16,37078143,37078250
17,37076857,37076943
18,37070783,37076768

>TPM4_ENST00000344824.6,chr19:16177831-16213813
1,16178317,16178548
2,16186857,16186982
3,16192723,16192856
4,16197233,16197350
5,16198837,16198907
6,16199855,16199930
7,16204346,16204408
8,16204494,16204563
9,16212074,16212600

>CD74_ENST00000009530.7,chr5:149781200-149792492
1,149792188,149792314
2,149786715,149786887
3,149786444,149786523
4,149785822,149785884
5,149784648,149784743
6,149784243,149784330
7,149782684,149782875
8,149782126,149782188
9,149781715,149781813

>ROS1_ENST00000368508.3,chr6:117609463-117747018
1,117746697,117747018
2,117739625,117739669
3,117737421,117737480
4,117730745,117730805
5,117725443,117725591
6,117724302,117724440
7,117718078,117718279
8,117717351,117717427
9,117715779,117715901
10,117715325,117715509
11,117714387,117714484
12,117710513,117711009
13,117708943,117709197
14,117708052,117708162
15,117706846,117707024
16,117704480,117704671
17,117700222,117700322
18,117687239,117687453
19,117686744,117686904
20,117686223,117686367
21,117683766,117684028
22,117681505,117681568
23,117680972,117681174
24,117678967,117679172
25,117677792,117678078
26,117674153,117674332
27,117665223,117665425
28,117663563,117663707
29,117662563,117662795
30,117662298,117662474
31,117658335,117658503
32,117650492,117650609
33,117647387,117647577
34,117645495,117645578
35,117642422,117642557
36,117641031,117641193
37,117639351,117639415
38,117638306,117638435
39,117632183,117632280
40,117631244,117631444
41,117629957,117630091
42,117622137,117622300
43,117609463,117609965

>SLC34A2_ENST00000382051.3,chr4:25656923-25680370
1,25657466,25657512
2,25664120,25664234
3,25664327,25664464
4,25665824,25665952
5,25667750,25667893
6,25669502,25669613
7,25671269,25671464
8,25672360,25672455
9,25673223,25673343
10,25674709,25674876
11,25675918,25676034
12,25676127,25676251
13,25677757,25680370

>EZR_ENST00000367075.3,chr6:159186773-159240444
1,159240349,159240444
2,159239114,159239198
3,159210320,159210403
4,159208140,159208235
5,159206341,159206615
6,159205676,159205759
7,159204552,159204698
8,159197440,159197536
9,159192276,159192439
10,159191796,159191926
11,159190816,159190976
12,159190358,159190450
13,159188293,159188544
14,159186780,159188110

>GOPC_ENST00000052569.6,chr6:117639374-117923691
1,117923167,117923691
2,117900063,117900227
3,117896340,117896515
4,117894630,117894795
5,117892023,117892118
6,117890735,117890899
7,117888017,117888197
8,117881432,117884547

>SDC4_ENST00000372733.3,chr20:43953928-43977064
1,43976965,43977064
2,43964422,43964560
3,43961663,43961709
4,43959006,43959204
5,43953928,43956055

>CCDC6_ENST00000263102.6,chr10:61548521-61666414
1,61665880,61666414
2,61612311,61612460
3,61592283,61592411
4,61574410,61574513
5,61572393,61572553
6,61566680,61566836
7,61564178,61564278
8,61554231,61554355
9,61548521,61552869

>RET_ENST00000355710.3,chr10:43572475-43625799
1,43572475,43572779
2,43595907,43596170
3,43597790,43598077
4,43600400,43600641
5,43601824,43602019
6,43604479,43604678
7,43606655,43606913
8,43607547,43607672
9,43608301,43608411
10,43609004,43609123
11,43609928,43610184
12,43612032,43612179
13,43613821,43613928
14,43614979,43615193
15,43615529,43615651
16,43617394,43617464
17,43619119,43619256
18,43620331,43620430
19,43622023,43622170
20,43623560,43625799

>NCOA4_ENST00000374087.4,chr10:51565108-51590734
1,51565227,51565296
2,51579128,51579282
3,51580556,51580696
4,51580880,51580968
5,51581270,51581378
6,51582183,51582272
7,51582796,51582939
8,51584616,51585599
9,51586271,51586411
10,51589225,51590732

>PRKAR1A_ENST00000589228.1,chr17:66507921-66547460
1,66508568,66508689
2,66511535,66511717
3,66518897,66519067
4,66519866,66519957
5,66520157,66520218
6,66521053,66521099
7,66521895,66522053
8,66523981,66524041
9,66525011,66525132
10,66526061,66526142
11,66526418,66529572

>BCR_ENST00000305877.8,chr22:23521891-23660224
1,23522397,23524426
2,23595986,23596167
3,23603137,23603241
4,23603542,23603727
5,23610595,23610702
6,23613719,23613779
7,23615268,23615320
8,23615821,23615961
9,23626164,23626285
10,23627220,23627388
11,23629346,23629465
12,23630284,23630359
13,23631704,23631808
14,23632526,23632600
15,23634728,23634825
16,23637211,23637342
17,23651611,23651670
18,23652511,23652620
19,23653884,23654023
20,23655074,23655208
21,23656155,23656260
22,23656739,23656901
23,23657620,23660224

>ABL1_ENST00000318560.5,chr9:133589333-133763062
1,133710453,133710912
2,133729451,133729624
3,133730188,133730483
4,133738150,133738422
5,133747516,133747600
6,133748247,133748424
7,133750255,133750439
8,133753802,133753954
9,133755455,133755544
10,133755887,133756051
11,133759356,133763062

>ETV6_ENST00000396373.4,chr12:11802788-12048336
1,11802788,11803094
2,11905384,11905513
3,11992074,11992238
4,12006361,12006495
5,12022358,12022903
6,12037379,12037521
7,12038860,12038960
8,12043875,12048336

>NTRK3_ENST00000394480.2,chr15:88418230-88799999
1,88799875,88799978
2,88799515,88799717
3,88799137,88799399
4,88727456,88727530
5,88726649,88726720
6,88690566,88690634
7,88680635,88680792
8,88679698,88679840
9,88679130,88679271
10,88678332,88678628
11,88671942,88671965
12,88670393,88670457
13,88669502,88669604
14,88576088,88576276
15,88483854,88483984
16,88476243,88476415
17,88472422,88472665
18,88423501,88423659
19,88418230,88420351

>TPM3_ENST00000368530.2,chr1:154127784-154167124
1,154164378,154164687
2,154163662,154163787
3,154148591,154148724
4,154145560,154145677
5,154145384,154145454
6,154143889,154143964
7,154143125,154143187
8,154142876,154142945
9,154141781,154141859
10,154139941,154140416

>NTRK1_ENST00000368196.3,chr1:156785432-156851642
1,156830607,156830938
2,156834146,156834220
3,156834520,156834591
4,156836702,156836770
5,156837896,156838041
6,156838297,156838439
7,156841415,156841547
8,156843425,156843751
9,156844363,156844418
10,156844698,156844800
11,156845312,156845458
12,156845872,156846002
13,156846192,156846364
14,156848914,156849154
15,156849791,156849949
16,156851249,156851642

>LMNA_ENST00000368300.4,chr1:156052364-156109880
1,156084498,156085065
2,156100408,156100564
3,156104194,156104319
4,156104596,156104766
5,156104978,156105103
6,156105692,156105912
7,156106005,156106227
8,156106712,156106819
9,156106904,156107023
10,156107445,156107534
11,156108279,156108548
12,156108871,156109880

>TPR_ENST00000367478.4,chr1:186280784-186344825
1,186344010,186344457
2,186342491,186342595
3,186340102,186340175
4,186337018,186337114
5,186332474,186332577
6,186331969,186332133
7,186331420,186331512
8,186330921,186331001
9,186330754,186330841
10,186329897,186330037
11,186329405,186329496
12,186328931,186329128
13,186327675,186327782
14,186326529,186326755
15,186325418,186325581
16,186324767,186324900
17,186324542,186324690
18,186322820,186322982
19,186321108,186321242
20,186320462,186320602
21,186319355,186319520
22,186316424,186316590
23,186315267,186315419
24,186314712,186314828
25,186313507,186313710
26,186313038,186313222
27,186312458,186312605
28,186310384,186310521
29,186310160,186310291
30,186308774,186308904
31,186307165,186307375
32,186306145,186306288
33,186305628,186305826
34,186304470,186304675
35,186304200,186304261
36,186303457,186303665
37,186302254,186302526
38,186301327,186301475
39,186300630,186300713
40,186296592,186296792
41,186295236,186295367
42,186294896,186294986
43,186292818,186293002
44,186291650,186291718
45,186291450,186291544
46,186289444,186289550
47,186287865,186287960
48,186287579,186287735
49,186286614,186286732
50,186283761,186283856
51,186280784,186283158

>FGFR3_ENST00000260795.2,chr4:1795034-1810599
1,1795560,1795770
2,1800981,1801250
3,1801474,1801539
4,1803094,1803263
5,1803347,1803470
6,1803562,1803752
7,1805419,1805563
8,1806057,1806247
9,1806551,1806696
10,1807082,1807203
11,1807286,1807396
12,1807477,1807667
13,1807778,1807900
14,1807984,1808054
15,1808273,1808410
16,1808556,1808661
17,1808843,1810598

>FGFR1_ENST00000447712.2,chr8:38268656-38326352
1,38325499,38326352
2,38314874,38315052
3,38287200,38287466
4,38285864,38285953
5,38285439,38285611
6,38283640,38283763
7,38282027,38282217
8,38279315,38279459
9,38277051,38277253
10,38275746,38275891
11,38275388,38275509
12,38274824,38274934
13,38273388,38273578
14,38272297,38272419
15,38272077,38272147
16,38271670,38271807
17,38271436,38271541
18,38268657,38271322

>EGFR_ENST00000275493.2,chr7:55086794-55279321
1,55086794,55087058
2,55209979,55210130
3,55210998,55211181
4,55214299,55214433
5,55218987,55219055
6,55220239,55220357
7,55221704,55221845
8,55223523,55223639
9,55224226,55224352
10,55224452,55224525
11,55225356,55225446
12,55227832,55228031
13,55229192,55229324
14,55231426,55231516
15,55232973,55233130
16,55238868,55238906
17,55240676,55240817
18,55241614,55241736
19,55242415,55242513
20,55248986,55249171
21,55259412,55259567
22,55260459,55260534
23,55266410,55266556
24,55268009,55268106
25,55268881,55269048
26,55269428,55269475
27,55270210,55270318
28,55272949,55279321

>BRAF_ENST00000288602.6,chr7:140434279-140624564
1,140624564,140624366
2,140550012,140549911
3,140534672,140534409
4,140508795,140508692
5,140507862,140507760
6,140501360,140501212
7,140500281,140500162
8,140494267,140494108
9,140487384,140487348
10,140482957,140482821
11,140481493,140481376
12,140477875,140477791
13,140476888,140476712
14,140454033,140453987
15,140453193,140453075
16,140449218,140449087
17,140439746,140439612
18,140434570,140434279

>DNAJB1_ENST00000254322.2,chr19:14625582-14629232
1,14629232,14628951
2,14627858,14627278
3,14626982,14625582

>ETV4_ENST00000319349.5,chr17:41605212-41623800
1,41623800,41623553
2,41623036,41622926
3,41622735,41622642
4,41622390,41622343
5,41613847,41613794
6,41611353,41611227
7,41610716,41610555
8,41610307,41610042
9,41607549,41607475
10,41607320,41607252
11,41607044,41606872
12,41606604,41606503
13,41606111,41605212

>ETV5_ENST00000306376.5,chr3:185764097-185826901
1,185826901,185826729
2,185823731,185823613
3,185823501,185823414
4,185823285,185823238
5,185823144,185823094
6,185798964,185798835
7,185797893,185797606
8,185783861,185783602
9,185782265,185782206
10,185775280,185775212
11,185775033,185774864
12,185769920,185769819
13,185766649,185764097

>FGFR2_ENST00000457416.2,chr10:123239371-123357917
1,123357917,123357476
2,123353481,123353223
3,123325218,123324952
4,123324093,123324016
5,123310973,123310804
6,123298229,123298106
7,123279683,123279493
8,123278343,123278196
9,123274833,123274631
10,123263455,123263304
11,123260461,123260340
12,123258119,123258009
13,123256236,123256046
14,123247627,123247505
15,123246938,123246868
16,123245046,123244909
17,123243317,123243212
18,123239535,123239371

>MET_ENST00000397752.3,chr7:116312446-116438440
1,116312446,116312631
2,116339125,116340338
3,116371722,116371913
4,116380004,116380138
5,116380906,116381079
6,116395409,116395569
7,116397491,116397593
8,116397692,116397828
9,116398513,116398674
10,116399445,116399544
11,116403104,116403322
12,116409699,116409845
13,116411552,116411708
14,116411903,116412043
15,116414935,116415165
16,116417443,116417523
17,116418830,116419011
18,116422042,116422151
19,116423358,116423523
20,116435709,116435845
21,116435941,116438440

>MSH2_ENST00000233146.2,chr2:47630108-47710367
1,47630108,47630541
2,47635540,47635694
3,47637233,47637511
4,47639553,47639699
5,47641408,47641557
6,47643435,47643568
7,47656881,47657080
8,47672687,47672796
9,47690170,47690293
10,47693797,47693947
11,47698104,47698201
12,47702164,47702409
13,47703506,47703710
14,47705411,47705658
15,47707835,47708010
16,47709918,47710367

>MYB_ENST00000341911.5,chr6:135502453-135540305
1,135502453,135502674
2,135507041,135507158
3,135508972,135509043
4,135510929,135511021
5,135511265,135511485
6,135513462,135513696
7,135514976,135515056
8,135515494,135515598
9,135516886,135517140
10,135518099,135518461
11,135520046,135520188
12,135521223,135521337
13,135521428,135521553
14,135522777,135522887
15,135524355,135524462
16,135539002,135540305

>NOTCH2_ENST00000256646.2,chr1:120454176-120612240
1,120612240,120611948
2,120572610,120572529
3,120548211,120547952
4,120539955,120539620
5,120529705,120529583
6,120512367,120512134
7,120510855,120510700
8,120510244,120510056
9,120509112,120508999
10,120508189,120508076
11,120506430,120506197
12,120502125,120502015
13,120497855,120497663
14,120496311,120496166
15,120493460,120493347
16,120491749,120491630
17,120491189,120491037
18,120484377,120484149
19,120483379,120483178
20,120480633,120480480
21,120480089,120479905
22,120478227,120478095
23,120471835,120471599
24,120469234,120469122
25,120468433,120467928
26,120466607,120466260
27,120465401,120465259
28,120465069,120464859
29,120464432,120464336
30,120463020,120462852
31,120462236,120461935
32,120461176,120461029
33,120460385,120460288
34,120459317,120454176

>NTRK2_ENST00000376214.1,chr9:87283466-87638505
1,87283466,87283700
2,87284217,87284338
3,87284595,87284803
4,87285292,87285875
5,87317074,87317148
6,87317263,87317334
7,87322759,87322827
8,87325552,87325706
9,87338488,87338624
10,87339139,87339271
11,87342569,87342874
12,87356807,87356842
13,87359888,87359988
14,87366901,87367000
15,87475955,87476002
16,87482158,87482346
17,87549077,87549207
18,87563377,87563549
19,87570198,87570432
20,87635121,87635279
21,87636167,87638505

>NUTM1_ENST00000537011.1,chr15:34635516-34649929
1,34635516,34635903
2,34638143,34638236
3,34640170,34640878
4,34642905,34643033
5,34645937,34646073
6,34646647,34646933
7,34647222,34647338
8,34647689,34649929

>PAX8_ENST00000348715.5,chr2:113973574-114036488
1,114036488,114036408
2,114036046,114035947
3,114004496,114004331
4,114002201,114002004
5,114000355,114000267
6,113999707,113999585
7,113999303,113999128
8,113994298,113994178
9,113993080,113992971
10,113984833,113984732
11,113977755,113977669
12,113976186,113973574

>RAF1_ENST00000251849.4,chr3:12625100-12705725
1,12705725,12705312
2,12660246,12660014
3,12653561,12653449
4,12650834,12650732
5,12650422,12650265
6,12647798,12647700
7,12645788,12645635
8,12641914,12641887
9,12641778,12641651
10,12641307,12641190
11,12633291,12633207
12,12632473,12632297
13,12629136,12629090
14,12627298,12627180
15,12626752,12626621
16,12626480,12626346
17,12626156,12625100

>RELA_ENST00000406246.3,chr11:65421067-65430565
1,65430565,65430297
2,65429676,65429650
3,65429559,65429408
4,65429306,65429158
5,65427686,65427595
6,65427268,65427137
7,65426293,65426189
8,65425970,65425758
9,65423406,65423326
10,65423233,65423159
11,65422471,65421067

>RSPO2_ENST00000276659.5,chr8:108911545-109095876
1,109095876,109095425
2,109095035,109094773
3,109001472,109001284
4,108973045,108972902
5,108970496,108970308
6,108913418,108911545

>TFE3_ENST00000315869.7,chrX:48886242-48901012
1,48901012,48900637
2,48898095,48897982
3,48896935,48896632
4,48895967,48895722
5,48895639,48895535
6,48891766,48891649
7,48891297,48891241
8,48891055,48890980
9,48889059,48888912
10,48888112,48886242

>TMPRSS2_ENST00000398585.3,chr21:42836480-42879992
1,42879992,42879877
2,42870116,42870046
3,42866505,42866283
4,42861520,42861434
5,42860440,42860321
6,42852529,42852403
7,42851209,42851099
8,42848547,42848504
9,42845423,42845252
10,42843908,42843733
11,42842670,42842575
12,42840465,42840323
13,42839813,42839661
14,42838080,42836480

>YAP1_ENST00000282441.5,chr11:101981192-102104154
1,101981192,101981900
2,101984875,101985125
3,102033187,102033302
4,102056749,102056862
5,102076624,102076805
6,102080248,102080295
7,102094353,102094483
8,102098200,102098312
9,102100433,102104154

>TACC3_ENST00000313288.4,chr4:1723266-1746898
1,1723266,1723370
2,1725148,1725310
3,1725455,1725597
4,1729435,1730514
5,1732614,1732689
6,1732899,1733028
7,1737000,1737052
8,1737458,1737561
9,1738968,1739055
10,1739325,1739429
11,1741429,1741505
12,1741686,1741729
13,1742553,1742713
14,1746245,1746351
15,1746439,1746559
16,1746675,1746898

>TFG_ENST00000240851.4,chr3:100428269-100467810
1,100428269,100428565
2,100432487,100432713
3,100438819,100438902
4,100447556,100447702
5,100451352,100451516
6,100455420,100455560
7,100463677,100463775
8,100466993,100467810

>HIP1_ENST00000336926.6,chr7:75162621-75368265
1,75368265,75368119
2,75228565,75228502
3,75221832,75221690
4,75221430,75221374
5,75216151,75216071
6,75211467,75211391
7,75210614,75210553
8,75203206,75203066
9,75197560,75197503
10,75192567,75192492
11,75192379,75192239
12,75191474,75191377
13,75190705,75190633
14,75189219,75189036
15,75187559,75187471
16,75187074,75186958
17,75186115,75186014
18,75185473,75185330
19,75184855,75184720
20,75183825,75183739
21,75183519,75183412
22,75182888,75182752
23,75178299,75178189
24,75177111,75177053
25,75176330,75176237
26,75174486,75174386
27,75174098,75173993
28,75172293,75172170
29,75171299,75171238
30,75168751,75168643
31,75167545,75162621

>KIAA1549_ENST00000440172.1,chr7:138516126-138666064
1,138666064,138665829
2,138604184,138601494
3,138597206,138597118
4,138596069,138595892
5,138593867,138593737
6,138591848,138591665
7,138589827,138589768
8,138588482,138588334
9,138583878,138583701
10,138579272,138579088
11,138566330,138566134
12,138564399,138564284
13,138556108,138555903
14,138554507,138554284
15,138552874,138552721
16,138546202,138545885
17,138537015,138536969
18,138529219,138529062
19,138525023,138524878
20,138522857,138516126

>SND1_ENST00000354725.3,chr7:127292234-127732661
1,127292234,127292505
2,127326667,127326816
3,127334882,127335002
4,127338929,127339007
5,127341217,127341377
6,127342489,127342580
7,127343219,127343377
8,127344893,127344999
9,127347611,127347701
10,127361341,127361454
11,127447538,127447627
12,127484377,127484477
13,127527955,127528065
14,127544800,127544872
15,127569241,127569382
16,127631000,127631109
17,127714554,127714742
18,127721412,127721553
19,127724776,127724899
20,127725763,127725832
21,127726990,127727103
22,127729541,127729744
23,127731889,127731933
24,127732045,127732659

>BICC1_ENST00000373886.3,chr10:60272900-60591195
1,60272900,60273093
2,60380615,60380661
3,60461834,60461903
4,60544761,60544840
5,60546683,60546841
6,60548130,60548183
7,60549022,60549216
8,60549442,60549693
9,60553244,60553375
10,60556100,60556286
11,60558159,60558320
12,60558816,60559012
13,60559954,60560086
14,60560650,60560806
15,60562837,60563002
16,60566344,60566383
17,60566764,60566918
18,60573590,60573746
19,60577322,60577482
20,60580129,60580228
21,60588521,60591195

>AGK_ENST00000355413.4,chr7:141250989-141355044
1,141250989,141251234
2,141255253,141255367
3,141292946,141292985
4,141296362,141296441
5,141301005,141301080
6,141310995,141311087
7,141313946,141313978
8,141315271,141315365
9,141321532,141321601
10,141333701,141333780
11,141336760,141336817
12,141341048,141341198
13,141341611,141341708
14,141349063,141349133
15,141351325,141351409
16,141352587,141355044

>ERG_ENST00000288319.7,chr21:39751949-40033704
1,39870287,39870407
2,39817327,39817544
3,39795332,39795483
4,39775428,39775631
5,39774479,39774559
6,39772496,39772567
7,39764298,39764366
8,39763581,39763637
9,39762917,39762964
10,39751949,39755845
